Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras
",read_excel",2024-11-29 20:54:40,2024-11-29,"Comando
data",36
",rename",2024-11-25 16:06:21,2024-11-25,"Comando
data",68
",reset_index",2024-11-24 16:44:48,2024-11-24,Comando,65
",sample",2024-11-30 00:48:46,2024-11-30,"Comando
data",33
",Series",2024-12-12 23:55:40,2024-12-12,"Comando
data",30
",set_index",2024-12-13 21:19:14,2024-12-13,"Comando
data",6
",shape",2024-11-14 23:56:09,2024-11-14,Comando,14
",sort_index",2024-12-05 19:56:37,2024-12-05,"Comando
data",47
",sort_values",2024-11-24 17:59:21,2024-11-24,"Conceito
data",75
",tail",2024-11-29 21:53:03,2024-11-29,,26
",to_datetime",2024-12-27 16:46:02,2024-12-26,"Comando
data",270
",to_numeric",2024-12-22 00:10:00,2024-12-21,"Comando
data",67
",tz_convert() e ,tz_localize()",2024-12-27 18:07:21,2024-12-27,"Comando
data",212
",unique",2024-12-13 23:09:24,2024-11-23,"Comando
data",32
",value_count or nunique or duplicates",2024-12-14 20:42:15,,,0
",value_counts",2024-12-22 00:09:53,2024-12-22,"Comando
data",40
",where",2024-12-14 18:30:06,2024-12-14,,65
axis=,2024-11-22 00:48:26,2024-11-22,,383
Comandos,2024-11-20 18:04:05,2024-08-21,Programação,1186
filtragem simples,2024-12-14 20:22:27,2024-12-14,,34
index=,2024-12-13 00:05:52,2024-12-13,"Comando
data",74
inplace=,2024-11-22 00:38:47,2024-11-21,"Comando
data",299
Normalizar nomes de colunas,2024-11-20 20:16:35,2024-11-20,"Comando
data",35
Sem título,2024-12-27 21:10:33,,,0
subset=,2024-11-22 00:55:42,2024-11-22,,87
~,2024-12-05 20:32:21,2024-12-05,,24
Análise de dados,2024-09-12 00:14:43,2024-09-04,,93
Análise descritiva ou exploratória,2024-09-12 00:15:37,2024-09-04,,92
Análise diagnóstica,2024-09-12 00:15:48,2024-09-04,,31
Análise Estatística,2024-09-04 21:48:45,2024-08-25,"DataAnalyst
data",45
Análise Explanatória,2024-11-29 19:41:47,2024-09-05,,55
Análise preditiva,2024-10-28 23:50:41,2024-09-04,,119
Análise prescritiva,2024-09-12 00:14:48,2024-09-04,,28
Aprendizado de máquina,2024-08-25 20:56:05,2024-08-25,"DataAnalyst
data",35
Coleta de dados,2024-08-25 19:37:40,2024-08-25,"DataAnalyst
data",30
Conceitos-chave de dados,2024-10-28 23:50:41,2024-08-25,"DataAnalyst
data",22
Estatística Descritiva,2024-09-03 23:31:31,2024-09-03,"DataAnalyst
data",78
Excel,2024-09-05 21:21:51,2024-08-25,"DataAnalyst
data",59
Exploração,2024-08-25 19:39:33,2024-08-25,,40
Indrodução,2024-09-12 00:24:02,2024-08-25,,77
Insights,2024-09-12 00:14:45,2024-09-04,,44
Limpeza de dados,2024-08-25 19:38:33,2024-08-25,"DataAnalyst
data",33
Mediana,2024-09-12 00:19:18,2024-09-03,,11
Medidas de Tendência Central,2024-09-12 00:17:26,2024-09-03,,55
Medidas,2024-09-12 00:21:40,2024-09-03,,17
Moda,2024-09-12 00:16:32,2024-09-03,,175
Média,2024-09-12 00:18:31,2024-09-03,,34
Padrões & Tendências & Relações,2024-09-12 00:21:55,2024-09-04,,55
Sem título,2024-08-28 23:01:55,,,240
Tipos de variáveis,2024-09-03 22:21:55,2024-09-03,"DataAnalyst
data",38
Variáveis discretas,2024-09-12 00:19:40,2024-09-03,,22
Variáveis ​​Contínuas,2024-09-12 00:24:09,2024-09-03,,19
Variáveis ​​Nominais,2024-09-03 22:23:21,2024-09-03,,19
Variáveis ​​Ordinais,2024-09-03 22:23:37,2024-09-03,,24
Variáveis ​​Qualitativas (ou Categóricas),2024-09-03 22:21:47,2024-09-03,,10
Variáveis ​​Quantitativas,2024-09-12 00:19:34,2024-09-03,,11
Visualização de dados,2024-08-25 19:53:00,2024-08-25,"DataAnalyst
data",42
Comandos,2024-08-22 20:29:47,2024-08-22,"Programação
data",538
'backticks',2024-10-09 23:56:50,2024-10-09,DataAnalyst,56
Campos,2024-09-16 00:40:14,2024-09-16,"DataAnalyst
data",25
Dados caracteres e strings,2024-09-13 20:35:08,2024-09-12,"DataAnalyst
data",20
Dados Diversos,2024-09-12 00:19:26,2024-09-11,,46
Dados sequência de Unicode,2024-09-23 21:08:58,2024-09-11,,71
"Diferenças DML,DDL e DCL",2024-09-12 17:56:04,2024-09-11,"DataAnalyst
data",43
Different Types,2024-09-21 21:25:42,2024-09-21,"DataAnalyst
data",25
Erro code 1175,2024-09-16 14:26:31,2024-09-15,Erro,87
Geral,2024-09-12 00:22:02,2024-09-11,,33
Linguagem de Controle de Dados (DCL),2024-09-12 00:23:42,2024-09-11,,47
Linguagem de Definição de Dados (DDL),2024-09-12 00:16:24,2024-09-11,,65
Linguagem de Manipulação de Dados (DML),2024-09-16 21:18:04,2024-09-11,,72
Otimizar as consultas SQL,2024-09-26 23:09:10,2024-09-26,"DataAnalyst
data",517
Projetos,2024-08-31 01:14:26,2024-08-19,Programação,474
Qualificador de escopo,2024-10-10 00:04:13,2024-10-09,DataAnalyst,212
Queries,2024-09-12 00:21:47,2024-09-11,,36
RDBMS,2024-09-12 00:14:09,2024-09-11,,561
SCHEMA,2024-10-09 23:49:15,2024-10-09,DataAnalyst,319
Sintaxe SQL,2024-09-16 21:07:39,2024-09-11,,66
SQL vx NoSQL,2024-09-26 23:42:23,2024-09-11,,295
SQL,2024-09-12 00:14:15,2024-09-11,,47
SSMS,2024-09-28 20:42:46,2024-09-28,"DataAnalyst
data",70
Subquereies Aninhadas,2024-09-21 21:26:08,2024-09-21,"DataAnalyst
data",37
Subquereies Correlacionadas,2024-09-21 21:25:12,2024-09-21,DataAnalyst,39
Subqueries,2024-09-21 21:25:51,2024-09-21,DataAnalyst,38
Tipos de dados SQL,2024-09-12 00:21:32,2024-09-11,,48
Unicode,2024-09-12 00:15:04,2024-09-11,,42
Árvore balanceada,2024-09-26 20:59:11,2024-09-26,DataAnalyst,96
Coisas para juntar,2024-10-23 22:36:39,,,16
ABS,2024-10-23 01:06:45,2024-09-23,Comando,61
ADD,2024-09-15 23:34:25,2024-09-15,Comando,51
ALTER,2024-09-13 20:44:35,2024-09-13,DataAnalyst,20
AND,2024-09-17 19:04:11,2024-09-17,DataAnalyst,32
AS,2024-09-19 20:17:36,2024-09-16,DataAnalyst,148
ASC,2024-09-16 21:20:02,2024-09-16,DataAnalyst,24
asterisco,2024-09-13 20:50:45,2024-09-13,Comando,13
BETWEEN,2024-09-19 19:50:49,2024-09-16,DataAnalyst,88
CASE,2024-10-23 00:33:54,2024-09-23,Comando,156
CEILING,2024-09-23 21:17:08,2024-09-23,Comando,62
CHECK,2024-09-20 23:08:25,2024-09-20,DataAnalyst,46
COALESCE,2024-09-25 14:24:11,2024-09-24,Comando,98
CONCAT,2024-10-12 20:54:55,2024-09-21,DataAnalyst,82
Consultas Agregadas,2024-09-20 23:10:42,,,0
COUNT(),2024-09-18 21:00:02,2024-09-18,DataAnalyst,21
COUNT,2024-09-16 01:25:55,2024-09-16,DataAnalyst,70
CREATE INDEX,2024-09-21 00:35:49,2024-09-21,DataAnalyst,115
CREATE TEMPORARY TABLE,2024-10-03 00:33:20,2024-09-26,Comando,148
CREATE VIEW,2024-09-28 21:42:21,2024-09-24,Comando,108
CREATE,2024-09-21 20:37:39,2024-09-12,DataAnalyst,24
CROSS JOIN,2024-09-21 20:13:39,2024-09-21,Comando,86
CRUD,2024-09-16 21:18:04,2024-09-13,DataAnalyst,42
DATE,2024-09-24 19:38:28,2024-09-15,Comando,154
DATEADD,2024-09-23 21:13:37,2024-09-23,DataAnalyst,96
DATEPART,2024-09-23 21:11:24,2024-09-23,Comando,80
DEFAULT,2024-09-21 00:03:30,2024-09-21,DataAnalyst,46
DELETE ou DROP VIEW,2024-09-25 21:26:12,2024-09-25,Comando,66
DELETE,2024-10-20 00:56:29,2024-09-15,Comando,20
DESC,2024-09-16 21:20:21,2024-09-16,DataAnalyst,12
DISTINCT,2024-10-10 23:59:36,2024-04-28,DataAnalyst,71
DOD,2024-10-02 15:30:26,2024-10-02,DataAnalyst,59
DROP VIEW,2024-09-25 21:21:55,2024-09-25,Comando,83
DROP,2024-09-13 20:42:37,2024-09-12,DataAnalyst,21
FLOOR,2024-09-23 22:29:47,2024-09-23,Comando,61
FOREIGN KEY,2024-10-12 23:34:26,2024-09-16,Comando,131
FULL (OUTER) JOIN,2024-09-20 19:10:59,2024-09-19,Comando,147
Funções avançadas,2024-10-15 21:07:58,2024-09-21,Comando,320
Funções de agregação SQL,2024-09-18 20:29:24,2024-09-18,DataAnalyst,133
GROUP BY,2024-10-14 23:42:10,2024-09-18,DataAnalyst,142
HAVING,2024-10-14 23:37:25,2024-09-20,DataAnalyst,205
IN,2024-09-16 21:03:51,2024-09-16,DataAnalyst,30
INSERT INTO,2024-09-17 20:09:18,2024-09-17,DataAnalyst,74
INTO,2024-09-16 21:18:04,2024-09-15,DataAnalyst,20
IS NULL,2024-09-18 00:00:20,2024-09-17,DataAnalyst,28
JOIN,2024-09-21 20:26:33,2024-09-19,Comando,219
LEFT (OUTER) JOIN,2024-09-19 23:23:19,2024-09-19,Comando,154
LENGTH,2024-09-23 20:26:07,2024-09-23,Comando,52
LIKE,2024-09-18 22:31:35,2024-09-16,DataAnalyst,41
LIMIT,2024-09-18 20:20:30,2024-09-18,DataAnalyst,51
LOWER,2024-09-23 20:30:21,2024-09-23,Comando,48
MAX(),2024-10-19 01:35:24,,,0
MOD,2024-09-23 22:38:01,2024-09-23,Comando,58
Nomal x temporary x view x Select,2024-10-09 01:37:21,2024-10-05,DataAnalyst,477
NOT NULL,2024-09-20 23:06:15,2024-09-20,DataAnalyst,39
NOT,2024-09-19 19:44:35,2024-09-19,DataAnalyst,50
NULLIF,2024-09-24 19:06:09,2024-09-23,Comando,62
Operadores do LIKE,2024-09-19 19:41:35,2024-09-18,DataAnalyst,92
Operadores no SQL,2024-09-19 19:51:17,2024-09-13,DataAnalyst,65
OR,2024-09-17 19:11:25,2024-09-17,DataAnalyst,66
ORDER BY,2024-09-16 21:28:55,2024-09-16,DataAnalyst,89
Parênteses,2024-09-17 19:55:27,2024-09-17,DataAnalyst,95
Prefixos SQL,2024-09-19 20:33:54,,,0
PRIMARY KEY,2024-09-15 21:38:10,2024-09-15,DataAnalyst,61
REFERENCES,2024-09-16 00:16:42,2024-09-16,Comando,35
REPLACE VIEW,2024-09-25 21:19:07,2024-09-25,Comando,133
REPLACE,2024-09-23 20:28:53,2024-09-23,Comando,55
Restrições SQL,2024-09-20 23:57:06,2024-09-20,DataAnalyst,164
RIGHT (OUTER) JOIN,2024-09-19 23:23:40,2024-09-19,Comando,138
ROUND,2024-10-11 00:30:05,2024-09-23,Comando,60
SELECT TOP,2024-09-18 00:08:13,2024-09-18,DataAnalyst,93
SELECT,2024-09-20 23:00:24,2024-09-18,DataAnalyst,17
SELF JOIN,2024-09-20 19:27:48,2024-09-20,DataAnalyst,125
Sem título,2024-09-15 23:32:15,,,0
SET,2024-09-15 20:56:03,2024-09-13,Comando,50
SUBSTRING,2024-09-23 20:21:51,2024-09-23,DataAnalyst,65
TIME,2024-09-23 21:04:29,2024-09-23,Comando,78
TIMESTAMP,2024-09-23 21:07:45,2024-09-23,Comando,62
UNION,2024-10-16 23:59:16,2024-09-20,Comando,157
UNIQUE,2024-09-21 00:01:48,2024-09-20,DataAnalyst,89
UPDATE,2024-09-15 21:25:51,2024-09-15,DataAnalyst,27
UPPER,2024-10-11 00:29:43,2024-09-23,Comando,46
USE,2024-09-15 20:52:44,2024-09-15,Comando,18
VARCHAR,2024-09-16 00:05:19,2024-09-16,DataAnalyst,39
VIEW,2024-09-25 21:10:25,2024-09-24,Comando,72
WHERE,2024-09-16 21:02:53,2024-09-13,DataAnalyst,30
ÍNDICES,2024-09-26 21:12:17,2024-09-26,,46
Planejamento,2024-10-02 23:58:42,2024-09-28,"DataAnalyst
data",697
Career Content,2024-11-28 17:11:32,2024-11-24,,91
Perguntas,2024-12-29 22:58:13,,,492
progeto 3,2024-12-15 16:29:00,,,4414
Sem título,2024-12-12 19:32:33,,,127
Técnicas de estudo,2024-12-07 00:23:04,2024-12-03,,895
Introdução á EDA e DATAVIZ,2024-12-03 20:18:58,2024-12-03,,22
Networking Como Criar uma Rede de Contatos Profissionais,2024-09-18 23:32:45,2024-04-28,"Networking
data",259
0 Quero ler,2024-12-20 23:25:02,2024-12-17,,130
4 tipos de análise de dados para criar estratégias certeiras,2024-11-21 21:22:08,2024-04-28,,94
43 conjuntos de dados gratuitos para construir um portfólio irresistível,2024-11-21 22:56:03,2024-04-28,,351
Como criar seu portfólio de Data Scientist e divulgar seus trabalhos,2024-11-20 21:36:19,2024-04-28,"Carreira
data",90
Data - career transition,2024-11-17 23:57:46,2024-04-28,"DataAnalyst
data",127
Data sience para Negócios,2024-10-28 23:04:24,2024-09-30,DataAnalyst,2608
Eletrônica Básica,2024-07-10 14:02:38,2024-04-24,"Eletrônica
data",209
Livros para eletrônica,2024-04-19 23:32:15,2024-04-19,"Eletrônica
data",129
O mundo assombrado pelos demonio,2024-10-28 16:33:12,,,61
O poder do hábito,2024-10-28 16:23:02,,,326
O teste da mãe,2024-12-10 01:26:33,,,381
Rapido e Devagar 2 formas de pensar,2024-01-27 11:30:00,,,421
Storytelling com dados,2024-09-30 15:31:36,2024-09-04,,1650
Voice in,2024-08-05 21:43:05,2024-04-28,,30
+Dinheiro,2024-07-14 01:27:38,2024-07-14,,34
efeito florida,2023-11-27 11:27:02,,,89
efeito Lady Macbeth,2023-11-28 11:28:24,,,17
Níveis,2024-05-20 00:59:39,,,39
Aninha,2024-11-12 01:41:08,,,5
Esther,2023-10-10 13:00:52,,,71
Luck,2023-10-12 12:17:43,,,49
Naomí,2023-10-12 12:15:53,,,85
Ken,2024-09-19 01:14:01,2024-09-19,,53
TOP,2024-09-19 00:25:42,,,48
Chatpdf,2024-04-29 11:07:59,2024-04-28,"Ferramentas
data",24
Cor invertida,2024-04-29 00:42:10,2024-04-28,,17
Everycircuit,2024-04-29 00:02:24,2024-04-28,,30
Ferramentas para design de circuitos eletrônicos,2024-04-29 00:34:48,2024-04-28,"Eletrônica
data",57
intervals.icu,2024-04-29 00:21:33,2024-04-28,,23
Paperzonevn,2024-04-29 00:57:07,2024-04-28,,18
perplexity,2024-08-05 21:37:01,2024-04-28,,15
Playgraund,2024-08-05 02:04:11,2024-04-28,,15
Scispace,2024-05-02 10:54:56,2024-04-28,Aprendizado,19
Sites para pesquisar artigos,2024-04-28 23:47:44,2024-04-28,,12
Status invest,2024-04-29 00:15:46,2024-04-28,,19
Suno.io,2024-04-29 00:03:56,2024-04-28,,23
tempo.com,2024-04-29 00:36:29,2024-04-28,,54
Video highlight,2024-04-29 11:06:23,2024-04-28,"Ferramentas
data",16
D Cientista de Dados financeiro,2024-09-29 00:01:27,2024-09-28,DataAnalyst,205
87 DICAS OBSIDIAN Do Iniciante ao Avançado  Tutorial Obsidian,2024-04-29 11:00:02,2024-04-28,Aprendizado,976
A arte e a ciência de MEMORIZAR qualquer coisa,2024-08-17 19:27:21,2024-04-28,Aprendizado,46
A Física da Neurociências,2024-06-08 19:17:01,2024-04-28,Física,270
A MELHOR FORMA DE CHEGAR EM QUEM VOCÊ TÁ A FIM Marcos Lacerda psicólogo,2024-05-23 02:02:30,2024-04-28,,72
Adeus verbo to be,2024-12-03 23:41:17,2024-04-28,"Inglês
data",376
Anotações escritas ou digitadas,2024-11-15 16:55:34,2024-04-28,"Aprendizado
data",135
APRENDA INGLÊS SOZINHO e de GRAcA,2024-11-15 17:03:33,2024-04-28,,519
APRENDA INGLÊS SOZINHO e de GRAÇA,2024-08-21 00:24:53,2024-04-28,"Aprendizado
data",367
Como e quais componentes guardar de sucata,2024-05-05 00:33:05,2024-04-28,"Eletrônica
data",64
COMO ESTUDAR POR PDF USANDO INTELIGÊNCIA ARTIFICIAL - UPDF,2024-05-04 00:45:36,2024-04-26,"Aprendizado
data",66
Como ganhar DINHEIRO ONLINE (fazendo freelance),2024-07-26 12:18:23,2024-04-28,,356
"Como Magnetizar e Desmagnetizar ferramentas de forma CORRETA, com um pequeno dispositivo!🧲",2024-04-27 00:26:51,2024-04-27,,49
Curso de Mineração de Sentenças,2024-11-28 21:44:05,2024-04-28,,61
Engenharia de prompt,2024-05-07 19:35:25,2024-05-07,,98
Equipamentos & Ferramentas - Software para Controle de Componentes Eletrônicos “com algo a mais”,2024-05-05 23:57:52,2024-04-28,,63
Evidência suprimida (Cherry picking),2024-05-03 11:27:29,2024-04-28,,39
Fazemos algo surreal ao falar português!,2024-04-28 22:53:19,2024-04-28,,43
From Paper to Bionics Origami's Incredible Impact on Science  FD Engineering,2024-04-30 12:53:51,2024-04-28,,1445
Github com Alexandre,2024-12-10 21:27:58,2024-04-28,"Programação
data",35
Método SQ3R,2024-08-18 00:45:19,2024-04-28,,132
Por que comemos sempre a mesma coisa,2024-03-06 00:51:09,,,119
Por que pessoas BURRAS se acham INTELIGENTES,2024-04-09 01:01:06,2024-04-08,"Aprendizado
data",38
Qual é a VELOCIDADE da ELETRICIDADE,2024-04-24 00:22:15,2024-04-24,,76
Transístor Explicado - Como funcionam os transístores,2024-09-12 20:53:29,2024-04-28,"Eletrônica
data",252
Zettelkasten,2024-04-07 23:09:29,,,104
Concertei extenção,2024-04-24 17:30:13,2024-04-24,"Eletrônica
data",20
Concertei minha lanterna,2024-04-24 18:52:52,2024-04-24,"Eletrônica
data",26
Concertei teclado,2024-05-01 16:33:37,2024-05-01,"Eletrônica
data",44
Fiz fios jacarés,2024-04-24 19:00:35,2024-04-24,"Eletrônica
data",21
Melhorei os estiletes.,2024-04-24 17:31:08,2024-04-24,,16
Pasta para soldar,2024-04-24 17:30:56,2024-04-24,"Eletrônica
data",14
Pegador de acerolas,2024-04-24 19:01:21,2024-04-24,,10
Planos para Luminária,2024-05-07 21:04:12,2024-05-04,Eletrônica,114
Avalia qual ou quais compreessões,2024-08-23 21:22:49,,,0
Avaliador de livros,2024-09-03 01:39:36,2024-08-29,,167
Ações,2024-07-17 01:19:15,2024-07-17,,41
Corretor de redações e plotador de erros,2024-11-10 17:38:02,2024-11-10,DataAnalyst,14
Criador de palavras que faltam,2024-08-29 17:47:21,2024-08-29,,58
Detector de circuitos,2024-05-30 00:56:59,2024-05-30,,49
Excel para controle de estoque,2024-05-05 23:59:47,2024-05-05,"Ferramentas
data",35
Gerador de diagrama crochet,2024-09-04 01:14:00,2024-09-04,,46
Gráficos para csv,2024-08-19 18:47:13,2024-08-19,,16
Hipoteses,2024-11-24 23:08:42,2024-11-24,"ideias
data",14
Livro = astronauta na terra,2024-07-29 00:51:59,2024-07-29,,93
Livro = Beleza,2024-07-29 01:58:18,2024-07-29,,169
Medidor de peso com a variação da capacitancia.,2024-05-12 00:48:54,2024-05-12,"Eletrônica
data",68
Multpesquisador,2024-08-10 10:55:38,,,61
Ordenador de word,2024-08-30 01:59:15,2024-08-30,,47
Ponteira heat pipe,2024-04-24 23:15:55,2024-04-24,Eletrônica,38
Previsão de demanda para cadeias de suprimentos,2024-08-19 19:26:59,2024-08-19,Programação,17
Transformar celular em um arduino.,2024-05-12 00:46:19,2024-05-12,"Eletrônica
data",38
Trayler,2024-06-15 01:31:53,2024-06-09,C,122
Emoção,2024-11-26 16:55:26,2024-11-26,"Psicologia
data",52
RPD,2024-11-26 16:57:16,2024-11-26,"Psicologia
data",90
Estudo,2024-09-20 19:25:10,,,3
Nota diaria,2023-09-27 20:21:44,,,2
Pessoas,2023-09-27 21:19:11,,,48
pret,2024-09-19 00:29:40,,,30
Sites,2024-04-28 23:20:18,2024-04-28,,7
Vídeo,2024-04-28 23:19:33,2024-04-28,,8
Drawing 2024-09-04 00.54.48.excalidraw,2024-09-04 20:58:49,,,1669
